SPAC1782.12c	SPBC1703.03c	SPCC285.04	
SPAC1783.01	SPBC1703.04	SPCC285.05	
SPAC1783.02c	SPBC1703.05	SPCC285.06c	
SPAC1783.03	SPBC1703.06	SPCC285.07c	
SPAC1783.04c	SPBC1703.07	SPCC285.08	
SPAC1783.05	SPBC1703.08c	SPCC285.09c	
SPAC1783.06c	SPBC1703.09	SPCC285.10c	
SPAC1783.07c	SPBC1703.10	SPCC285.11	
SPAC1783.08c	SPBC1703.11	SPCC285.12	
SPAC1786.01c	SPBC1703.12	SPCC285.13c	
SPAC1786.02	SPBC1703.13c	SPCC285.14	
SPAC1786.03	SPBC1703.14c	SPCC285.15c	
